ts_code,symbol,exchange,pre_close,event_close,event_high,event_low,price_change_pct,vol_change_pct,earliest_date,name
002868.SZ,002868,SZ,29.25,28.75,29.7,28.3,-1.7094017094017095,-18.128394788652756,20170503,*ST绿康
000528.SZ,000528,SZ,8.14,8.18,8.24,8.08,0.4914004914004809,-30.661234396419474,20170103,柳    工
002459.SZ,002459,SZ,13.14,13.07,13.25,13.03,-0.5327245053272472,-17.596277363339482,20170103,晶澳科技
300584.SZ,300584,SZ,37.29,37.53,37.75,36.81,0.6436041834271976,-10.198892106717265,20170112,海辰药业
002303.SZ,002303,SZ,7.75,8.26,8.39,7.65,6.58064516129032,73.52529431703584,20170103,美盈森
000514.SZ,000514,SZ,7.13,7.2,7.31,7.1,0.9817671809256702,0.6880796970383627,20170103,渝 开 发
002465.SZ,002465,SZ,10.97,10.91,10.99,10.65,-0.5469462169553373,-35.213864265456316,20170103,海格通信
002471.SZ,002471,SZ,4.67,4.77,4.82,4.64,2.141327623126331,1.040829268275272,20170103,中超控股
002317.SZ,002317,SZ,12.72,12.83,13.01,12.67,0.864779874213832,16.009318890918678,20170103,众生药业
300235.SZ,300235,SZ,15.62,15.48,15.59,15.29,-0.8962868117797618,-17.272857919765737,20170103,方直科技
300553.SZ,300553,SZ,48.9,50.8,51.51,48.62,3.8854805725971344,33.42557645866401,20170103,集智股份
300547.SZ,300547,SZ,62.92,63.01,63.76,61.53,0.1430387794024099,-29.645863331266863,20170103,川环科技
300221.SZ,300221,SZ,16.65,16.82,17.15,16.32,1.0210210210210313,-36.54950255899947,20170103,银禧科技
300209.SZ,300209,SZ,25.83,25.0,25.49,24.08,-3.2133178474641824,0.31973123152700567,20170103,行云科技
300225.SZ,300225,SZ,13.55,14.55,14.63,13.36,7.380073800738007,10.07667851218335,20170103,*ST金泰
300543.SZ,300543,SZ,38.26,38.45,39.08,37.68,0.49660219550445595,-29.253387996608875,20170103,朗科智能
300231.SZ,300231,SZ,11.48,11.62,11.95,11.4,1.2195121951219408,29.06916742351991,20170103,银信科技
300219.SZ,300219,SZ,13.3,13.18,13.52,13.08,-0.9022556390977519,47.93467813809297,20170103,鸿利智汇
000538.SZ,000538,SZ,105.87,101.32,105.79,100.0,-4.297723623311619,45.16287145948944,20170103,云南白药
002449.SZ,002449,SZ,21.1,22.95,23.23,20.75,8.76777251184833,21.008529917094656,20170103,国星光电
002313.SZ,002313,SZ,26.11,27.92,28.1,25.86,6.932209881271552,48.20695662577491,20170103,日海智能
002475.SZ,002475,SZ,24.86,25.77,26.07,23.78,3.660498793242157,15.978909960956209,20170103,立讯精密
002461.SZ,002461,SZ,12.49,12.38,12.8,12.38,-0.8807045636509162,78.26364008011112,20170103,珠江啤酒
000510.SZ,000510,SZ,8.77,8.81,9.08,8.8,0.4561003420752672,5.18791340559821,20170103,新金路
002307.SZ,002307,SZ,12.9,12.62,13.07,12.6,-2.1705426356589235,-25.459052974663955,20170103,北新路桥
002688.SZ,002688,SZ,7.53,7.6,7.62,7.44,0.9296148738379733,-14.092610268127249,20170103,金河生物
